slug,toolName,category,siteOrigin,siteOriginEvidence,officialUrl,officialSourceUrl,pricingText,currency,monthlyPrice,pricingSourceUrl,sourcesCount,lastReviewed,verifiedAt,pricingStatus,needsReview,reviewReason
leonardo-ai,Leonardo AI,image,overseas,Leonardo AI Pty Ltd (Australia),https://leonardo.ai,https://leonardo.ai/pricing/,"$10/月（Apprentice年払い）／$12/月（月払い）。無料プランあり（日150トークン程度）。",USD,$10,https://leonardo.ai/pricing/,4,2026-06-15,2026-06-15,confirmed,no,公式料金URLあり・USD表記・海外サービス一致
hailuo-ai,Hailuo AI,video,overseas,MiniMax Co. Ltd. (China),https://hailuoai.video,https://hailuoai.video/doc/terms-of-service.html,"Standard $14.99/月・Pro $54.99/月・Master $119.99/月（USD）。最新情報は公式サイトをご確認ください。",USD,$14.99,https://hailuoai.video/subscribe,3,2026-06-21,2026-06-21,confirmed,no,hailuoai.video/subscribe にて Standard $14.99/Pro $54.99/Master $119.99 USD確認済み（2026-06-21）。confirmed化・needsReview=no・pricingSourceUrl更新済み
seaart-ai,SeaArt AI,image,overseas,SeaArt (Hong Kong/China),https://www.seaart.ai/,https://www.seaart.ai/,"要公式確認（VIP・SVIPプランあり）。無料プランあり。",unknown,要確認,,2,2026-06-21,2026-06-17,unconfirmed,yes,公式料金ページ再確認（2026-06-21）。seaart.ai/pricing・/ja ともに具体価格・通貨の非ログイン表示なし。unconfirmed維持
dreamstudio,Brand Studio（旧DreamStudio）,image,overseas,Stability AI Ltd. (UK/US),https://stability.ai/brandstudio,https://stability.ai/brand-studio-plans,"Trial 無料（1000cr）/ Core $50/月（USD・5000cr/月）。最新情報は公式サイトをご確認ください。",USD,$50,https://stability.ai/brand-studio-plans,5,2026-06-21,2026-06-21,confirmed,no,2026-06-21公式確認（stability.ai/brand-studio-plans）：Trial無料1000cr / Core $50/月 USD 5000cr/月。confirmed化・needsReview=no・currency=USD更新済み
vidu-ai,Vidu AI,video,overseas,Shengshu AI (China),https://www.vidu.com,https://www.vidu.com/pricing,要公式確認。無料枠あり（制限あり）。,unknown,要確認,https://www.vidu.com/pricing,3,2026-06-21,2026-06-21,unconfirmed,yes,2026-06-21再確認：vidu.com/pricingは「Loading pricing plans...」のみ表示で料金・通貨取得不可。pricingStatus/currency：維持。
pika,Pika,video,overseas,Pika Labs Inc. (US),https://pika.art,https://pika.art/pricing,"$8/月（年払い）。無料プランあり（制限付き）。",USD,$8,https://pika.art/pricing,3,2026-06-15,2026-06-15,confirmed,no,公式料金URLあり・USD表記・海外サービス一致
dalle,DALL·E,image,overseas,OpenAI Inc. (US),https://openai.com/dall-e-3,https://openai.com/policies/usage-policies,"ChatGPT Plus等の有料プランで利用枠拡大。無料プランで制限付き利用可。",USD,要確認,https://openai.com/chatgpt/pricing/,6,2026-06-15,2026-06-18,partial,yes,pricingSourceUrl=chatgpt/pricing/に更新・pricingSourceNote追加（2026-06-18）。独立料金なし・ChatGPT Plus依存。月額は要公式確認。needsReview継続
nightcafe,NightCafe,image,overseas,NightCafe Studio (Australia),https://creator.nightcafe.studio/,https://nightcafe.studio/policies/terms-of-service,"無料利用・無料クレジットあり。有料プランは公式参照。",unknown,要確認,https://nightcafe.studio/blogs/info/is-nightcafe-free,8,2026-06-17,2026-06-17,partial,yes,pricingSourceUrl=公式ブログ追加済み（料金表ではない）・currency=unknown追加済み・有料プラン料金表ページURL未確認
adobe-firefly,Adobe Firefly,image,overseas,Adobe Inc. (US),https://firefly.adobe.com,https://www.adobe.com/jp/products/firefly/plans.html,"1,580円/月（税込）〜（Firefly Standard）。無料枠あり（クレジット制）。",JPY,1580,https://www.adobe.com/jp/products/firefly/plans.html,6,2026-06-19,2026-06-19,confirmed,no,日本語公式料金ページ確認済み（2026-06-19）。currency=JPY・pricingText=1580円/月（税込）〜に更新。最新情報は公式サイトをご確認ください。
microsoft-designer,Microsoft Designer,image,overseas,Microsoft Corporation (US),https://designer.microsoft.com/,https://www.microsoft.com/servicesagreement,"Microsoftアカウントで無料利用可。有料プランの詳細は公式参照。",USD,要確認,https://support.microsoft.com/ja-JP/designer/frequently-asked-questions-about-microsoft-designer,3,2026-06-14,2026-06-18,partial,yes,pricingSourceUrl・pricingSourceNote追加（2026-06-18）。独立料金ページ未確認・Microsoft 365/Copilot Pro内包の可能性。月額・currency要公式確認。needsReview継続
haiper,Haiper,video,overseas,Haiper AI (UK),https://haiper.ai/,https://docs.haiper.ai/pricing,"コンシューマー向けWebアプリは2025年2月シャットダウン。API/B2B向けのみ。",unknown,要確認,https://docs.haiper.ai/pricing,7,2026-06-15,2026-06-15,service_changed,no,ファイル確認済み・シャットダウン注記完備・積極推奨でない旨の記載あり・officialSourceUrl=料金ドキュメントURL（適切）・ファイル変更不要と判断
tensor-art,Tensor.Art,image,overseas,Tensor.Art (China/unknown),https://tensor.art/,https://tensor.art/about/terms-of-service-new,"無料利用枠・クレジット制あり。詳細は変更の可能性あり。",unknown,要確認,https://tensor.art/event/proupdate,5,2026-06-17,2026-06-17,partial,yes,pricingSourceUrl=Proプラン案内ページ追加済み・currency=unknown追加済み・専用料金ページURL未確認・event URLは変更リスクあり
kling-ai,Kling AI,video,overseas,Kuaishou Technology (China),https://klingai.com,https://klingai.com/global/pricing,"$6.99/月〜。無料プランあり（日66クレジット・透かし・非商用）。",USD,$6.99,https://klingai.com/global/pricing,4,2026-06-04,2026-06-08,confirmed,no,公式料金URLあり・USD表記・海外サービス一致
runway,Runway,video,overseas,Runway AI Inc. (US),https://runwayml.com,https://runwayml.com/pricing/,"$12/月（Standard年払い）／$14/月（月払い）。初回125クレジット（更新なし）。",USD,$12,https://runwayml.com/pricing/,7,2026-06-05,2026-06-08,confirmed,no,公式料金URLあり・USD表記・海外サービス一致
stable-diffusion,Stable Diffusion,image,overseas,Stability AI Ltd. (UK/US),https://stability.ai,https://stability.ai/license,"ローカル実行は無料。クラウドAPI（Stability AI Platform）は要公式確認。",USD,要確認,https://platform.stability.ai/pricing,8,2026-06-06,2026-06-18,partial,yes,pricingSourceUrl frontmatter追加（2026-06-18）。ローカル/API料金の最新性は要公式確認。pricingStatus=partial・needsReview=yes継続
